Time(s),Voltage(V)
0.01972,-0.51953125
0.01974,-0.5
0.019760000000000003,-0.51640625
0.019780000000000002,-0.50234375
0.0198,-0.5140625
0.01982,-0.5046875
0.01984,-0.51640625
0.019860000000000003,-0.50234375
0.019880000000000002,-0.51640625
0.0199,-0.50234375
0.01992,-0.51640625
0.019940000000000003,-0.50234375
0.019960000000000002,-0.5140625
0.01998,-0.50546875
0.02,-0.5140625
0.020020000000000003,-0.50546875
0.020040000000000002,-0.51640625
0.02006,-0.50234375
0.02008,-0.51640625
0.020100000000000003,-0.50234375
0.020120000000000002,-0.5140625
0.02014,-0.50625
0.02016,-0.5140625
0.02018,-0.50546875
0.020200000000000003,-0.51171875
0.020220000000000002,-0.50859375
0.02024,-0.5140625
0.02026,-0.5062500000000001
0.020280000000000003,-0.51640625
0.020300000000000002,-0.50390625
0.02032,-0.5125000000000001
0.02034,-0.5078125
0.020360000000000003,-0.51328125
0.020380000000000002,-0.509375
0.0204,-0.51328125
0.02042,-0.51171875
0.020440000000000003,-0.5062500000000001
0.020460000000000002,-0.5171875
0.02048,-0.5078124999999999
0.0205,-0.51953125
0.02052,-0.51015625
0.020540000000000003,-0.51796875
0.020560000000000002,-0.50703125
0.02058,-0.521875
0.0206,-0.5101562500000001
0.020620000000000003,-0.515625
0.020640000000000002,-0.50703125
0.02066,-0.5203125
0.02068,-0.50625
0.020700000000000003,-0.52265625
0.020720000000000002,-0.51171875
0.02074,-0.51484375
0.02076,-0.50546875
0.020780000000000003,-0.525
0.020800000000000003,-0.5109374999999999
0.02082,-0.5171875
0.02084,-0.5085937500000001
0.02086,-0.5226562499999999
0.020880000000000003,-0.5046875000000001
0.020900000000000002,-0.525
0.02092,-0.50625
0.02094,-0.525
0.020960000000000003,-0.5078125
0.020980000000000002,-0.52265625
0.021,-0.50625
0.02102,-0.525
0.021040000000000003,-0.50625
0.021060000000000002,-0.525
0.02108,-0.50625
0.0211,-0.525
0.021120000000000003,-0.5078125
0.021140000000000003,-0.521875
0.02116,-0.50625
0.02118,-0.525
0.0212,-0.50859375
0.021220000000000003,-0.52265625
0.021240000000000002,-0.5046875
0.02126,-0.525
0.02128,-0.50625
0.021300000000000003,-0.525
0.021320000000000002,-0.51328125
0.02134,-0.51796875
0.02136,-0.5085937500000001
0.021380000000000003,-0.5226562499999999
0.021400000000000002,-0.50625
0.02142,-0.525
0.02144,-0.50625
0.021460000000000003,-0.525
0.021480000000000003,-0.5085937500000001
0.021500000000000002,-0.5226562499999999
0.02152,-0.50625
0.02154,-0.525
0.021560000000000003,-0.50625
0.021580000000000002,-0.525
0.0216,-0.5109375
0.02162,-0.5203125
0.021640000000000003,-0.50625
0.021660000000000002,-0.525
0.02168,-0.5085937500000001
0.0217,-0.5226562499999999
0.021720000000000003,-0.5109374999999999
0.021740000000000002,-0.5203125000000001
0.02176,-0.51015625
0.02178,-0.5203125
0.021800000000000003,-0.50859375
0.021820000000000003,-0.52265625
0.021840000000000002,-0.51328125
0.02186,-0.51796875
0.02188,-0.515625
0.021900000000000003,-0.515625
0.021920000000000002,-0.5109375
0.02194,-0.5203125
0.02196,-0.50859375
0.021980000000000003,-0.52265625
0.022000000000000002,-0.5109375
